hive,queen,inspection_date,temperament,brood_boxes,supers,dn4_brood,dn4_stores,sn4_brood,sn4_stores,eggs,larvae,drones,queen_cells,queen_found
"mozambeeque","graça",22-04-2023,4,1,3,5,0,4,20,true,true,true,true,true
"mozambeeque","graça",07-05-2023,5,1,3,6,2,0,20,true,true,true,true,false
"mozambeeque","graça",11-05-2023,5,1,3,7,2,0,20,true,true,true,true,true
"mozambeeque","graça",27-05-2023,5,1,0,6,0,0,0,true,false,false,false,true
"mozembeeque","graça",11-06-2023,5,1,2,6,2,0,8,true,true,false,false,true
"the beehamas",none,11-05-2023,none,1,1,5,2,0,8,true,true,true,true,false
"the beehamas",none,11-06-2023,4,1,3,0,5,0,20,false,false,true,false,false
"new beeland","buzzinda",11-06-2023,2,1,0,0,3,0,0,false,false,false,false,false
"puerto beeco","isabel",11-06-2023,4,1,0,2,3,0,0,true,true,true,false,false
